City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
628,Banda Aceh,ID,85.46,broken clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
631,Sungairaya,ID,88.41,few clouds,0.7,108.9,Rumah Kuku Moimoi Shelly
632,Pandan,PH,88.83,broken clouds,14.0453,124.1694,Bonifacio Lodge
633,Bac Lieu,VN,88.86,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
637,Dawei,MM,87.94,broken clouds,14.0833,98.2,Hotel Dawei
639,Mogadishu,SO,80.29,overcast clouds,2.0371,45.3438,Hotel Juba
642,Kirakira,SB,82.71,broken clouds,-10.4544,161.9205,SanBiz Lodge
645,Tiruchchendur,IN,86.29,overcast clouds,8.4833,78.1167,Hotel Udhayam International
648,Buala,SB,83.68,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
650,Arawa,PG,84.87,light rain,-6.2132,155.5367,Coastline Guest House
651,Ternate,ID,80.92,light rain,0.8,127.4,Sahid Bela Ternate Hotel
655,Touros,BR,77.07,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
656,Sibolga,ID,86.0,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
658,Kupang,ID,86.54,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
661,Denpasar,ID,85.71,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
666,Araouane,ML,77.36,scattered clouds,18.9048,-3.5265,
667,Baculin,PH,80.13,light rain,7.4525,126.5842,Baculin Cove Beach Resort
669,Waingapu,ID,85.28,clear sky,-9.6567,120.2641,Pondok Wisata Elim
671,Praxedis Guerrero,MX,85.46,clear sky,31.3667,-106.0167,Congregación placitas de Otero
672,Cayenne,GF,82.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
673,Marang,MY,86.52,light rain,5.2056,103.2059,DBarakah Homestay
675,Kankon,IN,85.57,overcast clouds,15.0167,74.0167,Palolem Beach Resort
683,Malakal,SS,84.76,broken clouds,9.5334,31.6605,Nile Palace Hotel
690,Etchojoa,MX,83.26,overcast clouds,26.9167,-109.6333,Cuadra RT
695,Weligama,LK,80.47,overcast clouds,5.9667,80.4167,Weligama Bay Resort
696,Meadow Lake,US,78.28,clear sky,34.8014,-106.5436,TumbleWeed RV Park
698,Soure,BR,78.51,light rain,-0.7167,-48.5233,Casarão da Amazônia
703,Tabuk,PH,87.64,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
