City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Nouadhibou,MR,20.931,-17.0347,73.38,60,100,20.71,overcast clouds
81,Yangcun,CN,39.3639,117.0603,75.18,16,1,8.59,clear sky
82,Albuquerque,US,35.0845,-106.6511,78.17,9,0,5.75,clear sky
83,Ribeira Grande,PT,38.5167,-28.7,60.24,64,79,27.78,broken clouds
84,Nicoya,CR,10.1483,-85.452,80.89,78,88,3.2,light rain
85,Limaong,PH,7.3606,122.3664,82.71,77,100,8.41,overcast clouds
86,Aktau,KZ,43.65,51.2,57.78,62,99,16.91,overcast clouds
87,Albany,US,42.6001,-73.9662,69.89,79,100,1.99,overcast clouds
88,Anadyr,RU,64.75,177.4833,46.9,66,20,17.9,few clouds
89,Upernavik,GL,72.7868,-56.1549,6.71,92,13,4.23,few clouds
90,Shache,CN,38.4167,77.2406,70.93,37,100,12.21,overcast clouds
91,Lompoc,US,34.6391,-120.4579,75.78,78,0,8.05,clear sky
92,Awjilah,LY,29.1081,21.2869,65.97,51,0,8.81,clear sky
93,Semirom,IR,31.4167,51.5667,46.63,41,0,3.74,clear sky
94,Ducheng,CN,23.2373,111.5317,67.01,93,100,4.18,overcast clouds
95,Morondava,MG,-20.2833,44.2833,74.08,63,37,7.18,scattered clouds
96,Khandyga,RU,62.6667,135.6,41.14,74,98,5.95,overcast clouds
97,Yellowknife,CA,62.456,-114.3525,54.12,50,75,16.11,broken clouds
98,Richards Bay,ZA,-28.783,32.0377,66.2,92,95,6.4,moderate rain
99,Nuuk,GL,64.1835,-51.7216,22.87,92,13,4.0,few clouds
100,Arraial Do Cabo,BR,-22.9661,-42.0278,72.57,73,97,15.39,overcast clouds
101,Mehamn,NO,71.0357,27.8492,37.31,90,100,6.38,overcast clouds
102,Fairbanks,US,64.8378,-147.7164,49.08,72,75,17.27,moderate rain
103,Bluff,NZ,-46.6,168.3333,51.8,68,73,6.91,broken clouds
104,Castro,BR,-24.7911,-50.0119,56.34,97,100,3.06,moderate rain
105,Los Llanos De Aridane,ES,28.6585,-17.9182,62.35,62,20,8.99,few clouds
106,Faya,SA,18.3851,42.4509,64.51,20,0,7.2,clear sky
107,Mar Del Plata,AR,-38.0023,-57.5575,46.94,80,0,5.75,clear sky
108,Bambous Virieux,MU,-20.3428,57.7575,73.65,83,40,8.05,scattered clouds
