City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Cape Town,ZA,2022-05-13 21:42:40,-33.9258,18.4232,54.91,89,20,6.91
68,Castro,BR,2022-05-13 21:47:34,-24.7911,-50.0119,57.07,87,0,2.93
69,Provideniya,RU,2022-05-13 21:47:34,64.3833,-173.3,40.15,50,1,6.35
70,Butaritari,KI,2022-05-13 21:47:35,3.0707,172.7902,80.83,74,96,7.92
71,Mumford,GH,2022-05-13 21:47:35,5.2618,-0.759,82.54,84,7,10.92
72,Lebu,CL,2022-05-13 21:47:36,-37.6167,-73.65,51.37,74,73,20.38
73,Grindavik,IS,2022-05-13 21:47:36,63.8424,-22.4338,40.95,60,75,10.36
74,Carnarvon,AU,2022-05-13 21:47:37,-24.8667,113.6333,63.81,62,0,18.75
75,Busselton,AU,2022-05-13 21:47:37,-33.65,115.3333,61.84,70,72,17.43
76,Nadym,RU,2022-05-13 21:47:38,65.5333,72.5167,42.12,95,89,10.56
77,Leningradskiy,RU,2022-05-13 21:47:38,69.3833,178.4167,34.16,82,24,5.3
78,Rundu,NA,2022-05-13 21:47:39,-17.9333,19.7667,60.33,38,0,4.97
79,Avera,US,2022-05-13 21:47:40,33.194,-82.5271,73.45,62,85,8.86
80,Cabedelo,BR,2022-05-13 21:47:41,-6.9811,-34.8339,79.47,80,86,9.86
81,Norman Wells,CA,2022-05-13 21:46:31,65.282,-126.8329,62.64,22,75,4.61
82,San Patricio,US,2022-05-13 21:47:42,28.017,-97.5169,93.92,49,2,15.9
83,Sitka,US,2022-05-13 21:47:42,57.0531,-135.33,49.89,71,40,9.22
84,Souillac,MU,2022-05-13 21:47:43,-20.5167,57.5167,71.98,73,20,4.61
85,East London,ZA,2022-05-13 21:47:35,-33.0153,27.9116,61.97,79,52,8.93
86,Ust-Nera,RU,2022-05-13 21:47:43,64.5667,143.2,34.79,91,100,3.69
87,Quthing,LS,2022-05-13 21:47:44,-30.4,27.7003,50.97,50,16,3.47
88,Los Llanos De Aridane,ES,2022-05-13 21:47:44,28.6585,-17.9182,65.95,93,100,0.0
89,Kapuskasing,CA,2022-05-13 21:47:45,49.4169,-82.4331,77.09,73,40,10.36
90,Mastic Beach,US,2022-05-13 21:47:45,40.7668,-72.8521,70.48,91,100,7.0
91,Codrington,AU,2022-05-13 21:47:46,-38.2667,141.9667,62.42,69,100,18.99
92,Kpandae,GH,2022-05-13 21:47:47,8.4689,-0.0113,74.55,91,100,11.18
93,Aykhal,RU,2022-05-13 21:48:47,66.0,111.5,24.51,93,100,5.97
94,Ponta Do Sol,PT,2022-05-13 21:48:48,32.6667,-17.1,69.01,83,34,4.47
95,Cervo,ES,2022-05-13 21:48:48,43.6702,-7.4101,56.97,94,90,9.04
96,Torbay,CA,2022-05-13 21:47:42,47.6666,-52.7314,47.28,79,75,8.05
97,Casma,CL,2022-05-13 21:48:49,-41.0082,-73.1244,49.28,84,99,2.55
98,Atbasar,KZ,2022-05-13 21:48:49,51.8,68.3333,54.32,65,93,7.7
99,Severo-Kurilsk,RU,2022-05-13 21:48:50,50.6789,156.125,39.25,95,100,17.05
100,Barsovo,RU,2022-05-13 21:48:51,61.1667,73.1667,50.13,78,70,7.78
101,Grants,US,2022-05-13 21:48:51,35.1473,-107.8514,75.43,5,0,0.0
102,Bredasdorp,ZA,2022-05-13 21:48:52,-34.5322,20.0403,54.82,76,62,6.82
103,Novaya Lyalya,RU,2022-05-13 21:48:52,59.055,60.599,44.11,97,99,3.76
104,Ancud,CL,2022-05-13 21:48:53,-41.8697,-73.8203,49.87,76,99,3.91
105,Siguiri,GN,2022-05-13 21:48:53,11.6667,-9.5,92.19,31,57,2.37
106,Entre Rios,BR,2022-05-13 21:48:54,-11.9419,-38.0844,71.73,89,11,4.14
107,Powassan,CA,2022-05-13 21:48:54,46.0334,-79.3496,83.26,50,25,7.81
108,Birao,CF,2022-05-13 21:48:55,10.2849,22.7882,83.8,43,100,5.93
109,Qaqortoq,GL,2022-05-13 21:44:17,60.7167,-46.0333,31.39,77,67,10.04
110,Port-Gentil,GA,2022-05-13 21:48:56,-0.7193,8.7815,80.56,89,40,9.22
111,Hamilton,US,2022-05-13 21:47:47,39.1834,-84.5333,84.99,47,20,8.05
112,Alice Springs,AU,2022-05-13 21:48:56,-23.7,133.8833,56.75,47,69,0.0
